Dataset,Model,AUROC Score,AUROC std,RMSE,Spearman,avgp,avgp_std,davgp,davgp_std
herg,CLAMP,0.7546270898110742,0.02629595235271916,,,0.8266608504132824,0.02371101059887549,0.136587090242207,0.01935008842184378
herg,Grande Closed (Text),0.7295948848077943,0.0270422211137235,,,0.8111912311210906,0.024791533408534648,0.12111747095001532,0.01843172485456669
herg,coati2,0.7614066519299756,0.02646209162092638,,,0.8290810370018292,0.02356016208991765,0.13900727683075384,0.01915503613327164
herg_karim,Autoreg Only,0.5779619097145362,0.00603160180289429,,,0.5435550916748276,0.0072385352131584604,0.04499112461453368,0.0039880463471181704
herg_karim,Barlow Closed (Text),0.6861283740672768,0.00562064132660142,,,0.626714987099142,0.0075205292771856795,0.1281510200388481,0.00508073441496133
herg_karim,CLAMP,0.6941393978659429,0.00547876380395927,,,0.6337714662920444,0.00743673519832703,0.13520749923175052,0.0049608963141353195
herg_karim,Grande Closed (Text),0.6737218855392089,0.00579399889864184,,,0.6157047435566815,0.00735796765547366,0.11714077649638759,0.0048366245438065504
herg_karim,coati2,0.7204559767610956,0.00535627109974692,,,0.6579910610020826,0.00728928879411504,0.1594270939417887,0.00519086164624484
hia_hou,Autoreg Only,0.7188757673926571,0.04141748092571093,,,0.9274499982903711,0.01548126232135289,0.05028065644864984,0.01260436665131604
hia_hou,Barlow Closed (Text),0.8233377662672918,0.03628611777943217,,,0.9533749277853538,0.01224944271319625,0.0762055859436324,0.01501694459027578
hia_hou,CLAMP,0.8440262965723507,0.034780936558370376,,,0.95929313269673,0.01141476646844082,0.08212379085500873,0.01547777890436355
hia_hou,Grande Closed (Text),0.8040062634725109,0.0380177000471191,,,0.9482360636979766,0.01291579842304962,0.07106672185625539,0.01441566096429108
hia_hou,coati2,0.8521577495425177,0.03535226823237428,,,0.9609990302814755,0.01119488957446311,0.0838296884397541,0.01561857014202731
hiv,Autoreg Only,0.6056891942594043,0.00985714770521401,,,0.045532954467012346,0.00223286915461014,0.01141941628335953,0.00151682709925415
hiv,Barlow Closed (Text),0.6874683061199123,0.009321569427954039,,,0.06355127331087117,0.00323400212445009,0.02943773512721833,0.00255763481696718
hiv,CLAMP,0.8240171415441655,0.0083865642614054,,,0.16772614406521397,0.00822792639721191,0.13361260588156113,0.007457051794109321
hiv,Grande Closed (Text),0.6698986681965247,0.00941922770557164,,,0.05860052203412358,0.0029548884290788004,0.02448698385047075,0.0023052292163335797
hiv,coati2,0.7032309635078049,0.00933817050395034,,,0.07348611613995627,0.00401543890942822,0.03937257795630343,0.00328040655915312
ld50_zhu,Autoreg Only,,,0.841283639796289,,,,,
ld50_zhu,Barlow Closed (Text),,,0.7942737359996549,,,,,
ld50_zhu,CLAMP,,,0.8278342649566109,,,,,
ld50_zhu,Grande Closed (Text),,,0.7904206165723048,,,,,
ld50_zhu,coati2,,,0.7827095281313244,,,,,
pgp_broccatelli,Autoreg Only,0.6976204555504306,0.018244025641195,,,0.6693037393596677,0.02389817912893144,0.1364484637827844,0.01617355003148083
pgp_broccatelli,Barlow Closed (Text),0.8114718492836985,0.01590041803684012,,,0.7798087873578207,0.021109473586364568,0.24695351178093747,0.01825910164113572
pgp_broccatelli,CLAMP,0.821739498026013,0.01549309151996319,,,0.7898833131093682,0.02082501811985989,0.25702803753248504,0.018494496018249252
pgp_broccatelli,Grande Closed (Text),0.8232247537973368,0.01532014256935307,,,0.7909047316557059,0.02044624407146834,0.25804945607882274,0.01820917269227367
pgp_broccatelli,coati2,0.8008693203135966,0.01607329073501761,,,0.7668260843271834,0.021723422463198118,0.23397080875030013,0.01851185222130178
ppbr_az,Autoreg Only,,,18.121862422307977,,,,,
ppbr_az,Barlow Closed (Text),,,17.169502272262882,,,,,
ppbr_az,CLAMP,,,15.404045060774902,,,,,
ppbr_az,Grande Closed (Text),,,16.546454179274594,,,,,
ppbr_az,coati2,,,15.740198815887164,,,,,
vdss_lombardo,Autoreg Only,,,,0.13198576234376738,,,,
vdss_lombardo,Barlow Closed (Text),,,,0.34487883056066265,,,,
vdss_lombardo,CLAMP,,,,0.5048355533650459,,,,
vdss_lombardo,Grande Closed (Text),,,,0.39738203486133805,,,,
vdss_lombardo,coati2,,,,0.4545512719795955,,,,
