Dataset,Seed,Analysis Type,Model,AUROC Score,AUROC std,RMSE,Spearman,avgp,avgp_std,davgp,davgp_std
ames,4,Classification,Grande Closed (Text),0.6715074188477343,0.0083725752166586,,,0.6418727167247944,0.0099529738328036,0.1156340770296903,0.0070462485639236
ames,4,Classification,CLAMP,0.7382311977715877,0.0073730052597157,,,0.6985754267742903,0.0097036833694442,0.1723367870791862,0.0076957887137725
ames,4,Classification,coati2,0.7317688367026117,0.0075232597256002,,,0.6893161594359928,0.010319969090018,0.1630775197408887,0.0072219812505796
ames,5,Classification,Barlow Closed (Text),0.7202912406129631,0.0074295401225433,,,0.7198251101160055,0.0087839180380547,0.1509875173707457,0.0064904882359114
ames,5,Classification,Grande Closed (Text),0.6666357229288479,0.0070593999181236,,,0.6771897583404305,0.0090305396067683,0.1083521655951708,0.0057857429909073
ames,5,Classification,CLAMP,0.7452231182050785,0.0073480771944294,,,0.7414498589996106,0.0085648972296053,0.1726122662543509,0.0068764635967932
ames,5,Classification,coati2,0.7409445691430894,0.0076735184424743,,,0.7338365875249171,0.0090132883880081,0.1649989947796574,0.0064623734807936
ames,6,Classification,Barlow Closed (Text),0.6956955939629991,0.0077674708160456,,,0.6776545885862439,0.009277339954463,0.1349230689379889,0.0067993110572579
ames,6,Classification,Grande Closed (Text),0.671763023369036,0.0072875584811549,,,0.6614337024360588,0.0093799093097149,0.1187021827878037,0.0070069405792988
ames,6,Classification,CLAMP,0.7296786757546251,0.0077249239995615,,,0.7066111170609166,0.0095471357938668,0.1638795974126615,0.0070388586491852
ames,6,Classification,coati2,0.7071523551606622,0.0075745909571895,,,0.6816797206340041,0.00962553441577,0.138948200985749,0.0068314121306959
ames,7,Classification,Barlow Closed (Text),0.6998084174303529,0.0081708509566861,,,0.687514364917205,0.0093006957484292,0.1290941784114452,0.0062704948728831
ames,7,Classification,Grande Closed (Text),0.6572914251546693,0.0078405703937733,,,0.6532923748839626,0.0094955153086464,0.0948721883782028,0.0053908743774626
ames,7,Classification,CLAMP,0.7173812371108861,0.0074284576889217,,,0.7013779689523671,0.0095509700003654,0.1429577824466074,0.0067455531952402
ames,7,Classification,coati2,0.7363244212864098,0.0069319160775002,,,0.7201960791025945,0.0088835238980031,0.1617758925968347,0.0069548742846959
ames,8,Classification,Barlow Closed (Text),0.691919851465724,0.0076263437805661,,,0.6224038593689094,0.0108310839722172,0.1439638703549022,0.0075103599462517
ames,8,Classification,Grande Closed (Text),0.6366514734626781,0.0076302135538977,,,0.5767879866977579,0.0102914086149677,0.0983479976837507,0.0070739466632979
ames,8,Classification,CLAMP,0.7133259150837138,0.0071018765110764,,,0.6410262289727082,0.0102715022019759,0.162586239958701,0.007567563670564
ames,8,Classification,coati2,0.7051049286318438,0.0078045418777749,,,0.6282935279117734,0.0101643725544121,0.1498535388977662,0.0073370425697647
ames,9,Classification,Barlow Closed (Text),0.7114695564629594,0.0076329738673324,,,0.6875591138208759,0.0096813455530596,0.1431425167726998,0.0069752680024409
ames,9,Classification,Grande Closed (Text),0.6624173800486497,0.0078436862220364,,,0.6477106325597735,0.009903170506657,0.1032940355115974,0.0060352000236766
ames,9,Classification,CLAMP,0.7293545482400465,0.0068227930522958,,,0.7003519844415435,0.0092826741945726,0.1559353873933674,0.0068455779436332
ames,9,Classification,coati2,0.7353594632282593,0.0074540044291592,,,0.7082900891072337,0.0092210225664687,0.1638734920590576,0.0070559043486418
bace_classification,0,Classification,Barlow Closed (Text),0.692139303482587,0.0172276948815327,,,0.5977768074521013,0.0226620196183822,0.1323512755372076,0.0149701979523001
bace_classification,0,Classification,Grande Closed (Text),0.686730632551528,0.0161883998359467,,,0.6007457663916631,0.0232201271598668,0.1353202344767695,0.0165738353432119
bace_classification,0,Classification,CLAMP,0.7002416488983653,0.0171895092840016,,,0.6079601531134697,0.0229164279874071,0.1425346211985761,0.0154452088264038
bace_classification,0,Classification,coati2,0.7170646766169153,0.0159827812394926,,,0.6209212712364006,0.0228084752977423,0.155495739321507,0.0155286948453645
bace_classification,1,Classification,Barlow Closed (Text),0.741507687927107,0.0152678730513733,,,0.6164783401649344,0.0250545595241029,0.1948709620358171,0.0186828923067154
bace_classification,1,Classification,Grande Closed (Text),0.7348056662870159,0.0163680423841339,,,0.6061798355441917,0.024795899232606,0.1845724574150745,0.0180811780092185
bace_classification,1,Classification,CLAMP,0.6957894362186788,0.0170226991480428,,,0.560751905765565,0.0238443237360064,0.1391445276364477,0.0162994208547504
bace_classification,1,Classification,coati2,0.7545914009111617,0.015578604722145,,,0.6319699322416714,0.0247657594358111,0.2103625541125541,0.0184568518577216
bace_classification,2,Classification,Barlow Closed (Text),0.7330541871921182,0.0164012333900605,,,0.6459167030726664,0.0235481753667281,0.1829537401097034,0.0176221841874381
